simplified,curation_level,canonical_traditional,record_type,simplification_types,source_count,traditional_sources,has_unihan,has_chise_ids,has_opencc_mapping,has_cedict_evidence,quality_gate
学,handcrafted,學,one_to_one_or_single_source,草书楷化,1,學,True,True,True,True,pass
书,handcrafted,書,one_to_one_or_single_source,草书楷化,1,書,True,True,True,True,pass
东,handcrafted,東,one_to_one_or_single_source,草书楷化;符号化简省,1,東,True,True,True,True,pass
车,handcrafted,車,one_to_one_or_single_source,草书楷化,1,車,True,True,True,True,pass
发,handcrafted,發,multi_source_merge,多对一合并,2,發 髮,True,True,True,True,pass
后,handcrafted,後,multi_source_merge,多对一合并;古字复用,2,後 后,True,True,True,True,pass
面,handcrafted,麵,multi_source_merge,多对一合并,2,麵 面,True,True,True,True,pass
台,handcrafted,臺,multi_source_merge,多对一合并;古字复用,4,臺 台 檯 颱,True,True,True,True,pass
余,handcrafted,餘,multi_source_merge,多对一合并,2,餘 余,True,True,True,True,pass
杰,handcrafted,傑,multi_source_merge,多对一合并;异体字采纳,2,傑 杰,True,True,True,True,pass
蒙,auto_external,矇,multi_source_merge,多对一合并;待人工考据,4,蒙 矇 濛 懞,True,True,True,True,pass
干,auto_external,幹,multi_source_merge,多对一合并;待人工考据,3,幹 乾 干,True,True,True,True,pass
复,auto_external,復,multi_source_merge,多对一合并;待人工考据,3,復 複 覆,True,True,True,True,pass
系,auto_external,係,multi_source_merge,多对一合并;待人工考据,3,系 係 繫,True,True,True,True,pass
苏,auto_external,蘇,multi_source_merge,多对一合并;待人工考据,3,蘇 甦 囌,True,True,True,True,pass
胡,auto_external,鬍,multi_source_merge,多对一合并;待人工考据,3,胡 鬍 衚,True,True,True,True,pass
向,auto_external,嚮,multi_source_merge,多对一合并;待人工考据,3,向 嚮 曏,True,True,True,True,pass
汇,auto_external,匯,multi_source_merge,多对一合并;待人工考据,3,匯 彙 滙,True,True,True,True,pass
只,auto_external,隻,multi_source_merge,多对一合并;待人工考据,3,只 隻 祇,True,True,True,True,pass
泛,auto_external,氾,multi_source_merge,多对一合并;待人工考据,3,泛 氾 汎,True,True,True,True,pass
毁,auto_external,毀,multi_source_merge,多对一合并;待人工考据,3,毀 燬 譭,True,True,True,True,pass
熏,auto_external,燻,multi_source_merge,多对一合并;待人工考据,3,燻 熏 薰,True,True,True,True,pass
家,auto_external,傢,multi_source_merge,多对一合并;待人工考据,2,家 傢,True,True,True,True,pass
克,auto_external,剋,multi_source_merge,多对一合并;待人工考据,2,克 剋,True,True,True,True,pass
出,auto_external,齣,multi_source_merge,多对一合并;待人工考据,2,出 齣,True,True,True,True,pass
合,auto_external,閤,multi_source_merge,多对一合并;待人工考据,2,合 閤,True,True,True,True,pass
里,auto_external,裏,multi_source_merge,多对一合并;待人工考据,2,裏 里,True,True,True,True,pass
布,auto_external,佈,multi_source_merge,多对一合并;待人工考据,2,布 佈,True,True,True,True,pass
同,auto_external,衕,multi_source_merge,多对一合并;待人工考据,2,同 衕,True,True,True,True,pass
制,auto_external,製,multi_source_merge,多对一合并;待人工考据,2,制 製,True,True,True,True,pass
回,auto_external,迴,multi_source_merge,多对一合并;待人工考据,2,回 迴,True,True,True,True,pass
当,auto_external,當,multi_source_merge,多对一合并;待人工考据,2,當 噹,True,True,True,True,pass
夫,auto_external,伕,multi_source_merge,多对一合并;待人工考据,2,夫 伕,True,True,True,True,pass
